Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
12.802,-6.02,-6.27,1
12.822,-5.54,-6.02,1
12.842,-5.29,-5.9,1
12.862,-5.17,-5.66,1
12.882,-5.17,-5.54,1
12.902,-4.8,-5.41,1
12.902,-4.68,-5.29,1
12.922,-4.56,-5.29,1
12.942,-4.44,-5.17,1
12.962,-4.31,-5.17,1
12.982,-4.31,-5.17,0
13.002,-4.44,-5.17,0
13.022,-4.44,-5.17,0
13.042,-4.19,-5.05,0
13.062,-4.19,-5.05,0
13.082,-4.19,-4.92,0
13.102,-4.07,-4.92,0
13.122,-4.07,-4.92,0
13.142,-4.07,-4.92,0
13.162,-4.19,-4.92,0
13.182,-4.31,-4.92,0
13.202,-4.07,-4.92,0
13.222,-4.19,-4.92,0
13.242,-4.07,-4.92,0
13.262,-3.95,-4.8,0
13.282,-3.95,-4.8,0
13.302,-4.07,-4.8,0
13.303,-4.19,-4.8,0
13.323,-4.19,-4.8,0
13.343,-4.07,-4.68,0
13.363,-4.19,-4.68,0
13.383,-3.95,-4.68,0
13.403,-4.07,-4.68,0
13.423,-4.07,-4.68,0
13.443,-4.07,-4.8,0
13.463,-4.31,-4.92,0
13.483,-4.19,-4.8,0
13.503,-4.07,-4.68,0
13.523,-3.95,-4.68,0
13.543,-3.95,-4.68,0
13.563,-3.82,-4.56,0
13.583,-3.82,-4.56,0
13.603,-3.82,-4.68,0
13.623,-3.95,-4.68,0
13.643,-3.95,-4.68,0
13.663,-3.95,-4.68,0
13.683,-4.56,-5.29,0
13.703,-5.78,-6.27,0
13.723,-6.51,-7.0,0
13.743,-6.88,-7.98,0
13.763,-7.25,-8.96,0
13.783,-8.22,-9.45,0
13.803,-9.08,-9.57,0
13.823,-9.32,-9.81,0
13.843,-9.57,-9.81,0
13.863,-9.57,-9.93,0
13.883,-9.69,-9.93,0
13.903,-9.69,-9.93,0
13.923,-9.81,-9.93,0
13.943,-9.81,-10.06,0
13.963,-9.93,-10.06,0
13.983,-9.93,-10.06,0
14.003,-9.93,-10.06,0
14.023,-9.93,-10.06,0
14.043,-10.06,-10.06,0
14.063,-10.06,-10.06,0
14.083,-10.06,-10.18,0
14.104,-10.06,-10.06,0
14.124,-10.18,-10.18,0
14.144,-10.18,-10.06,0
14.164,-10.06,-10.06,0
14.184,-10.18,-10.18,0
14.204,-10.18,-10.18,0
14.224,-10.18,-10.18,0
14.244,-10.18,-10.18,0
14.264,-10.18,-10.18,0
14.284,-10.06,-10.18,0
14.304,-10.06,-10.18,0
14.324,-10.06,-10.18,0
14.344,-10.18,-10.18,0
14.364,-10.18,-10.18,0
14.384,-10.18,-10.06,0
14.404,-10.18,-10.18,1
14.424,-10.18,-10.18,1
14.444,-10.06,-10.18,1
14.464,-10.06,-10.18,1
14.484,-10.18,-10.18,1
14.504,-10.18,-10.18,1
14.524,-10.18,-10.18,1
14.544,-10.18,-10.18,1
14.564,-10.18,-10.18,1
14.584,-10.18,-10.18,1
14.604,-10.18,-10.3,1
14.624,-10.18,-10.3,1
14.644,-10.18,-10.3,1
14.664,-9.93,-9.93,1
14.684,-9.2,-9.32,1
14.704,-8.71,-8.71,1
14.724,-8.22,-7.86,1
14.744,-7.73,-7.12,1
14.764,-6.88,-6.63,1
14.784,-6.15,-6.39,1
14.804,-5.66,-6.15,1
14.824,-5.29,-5.9,1
14.844,-5.17,-5.66,1
14.864,-5.05,-5.54,1
14.884,-4.92,-5.41,1
14.904,-4.8,-5.29,1
14.905,-4.68,-5.17,1
14.925,-4.56,-5.17,1
14.945,-4.31,-5.17,1
14.965,-4.31,-5.17,0
14.985,-4.31,-5.05,0
15.005,-4.44,-5.17,0
15.025,-4.31,-5.05,0
15.045,-4.19,-5.05,0
15.065,-4.19,-4.92,0
15.085,-4.07,-4.92,0
15.105,-4.07,-4.92,0
15.125,-4.07,-4.8,0
15.145,-4.19,-4.8,0
15.165,-4.31,-4.8,0
15.185,-4.19,-4.8,0
15.205,-4.07,-4.8,0
15.225,-4.07,-4.8,0
15.245,-3.95,-4.8,0
15.265,-3.82,-4.8,0
15.286,-3.95,-4.8,0
15.305,-3.95,-4.8,0
15.306,-4.07,-4.8,0
15.326,-3.95,-4.68,0
15.346,-3.95,-4.68,0
15.366,-3.95,-4.68,0
15.386,-3.82,-4.8,0
15.406,-3.82,-4.8,0
15.426,-3.95,-4.8,0
15.446,-4.07,-4.92,0
15.466,-4.19,-4.92,0
15.486,-3.95,-4.8,0
15.506,-3.95,-4.8,0
15.526,-3.82,-4.68,0
15.546,-3.82,-4.68,0
15.566,-3.82,-4.68,0
15.586,-3.82,-4.68,0
15.606,-3.82,-4.68,0
15.626,-3.95,-4.68,0
15.646,-4.07,-4.68,0
15.666,-4.56,-5.29,0
15.686,-5.78,-6.27,0
15.706,-6.51,-6.88,0
15.726,-7.0,-7.86,0
15.746,-7.37,-8.83,0
15.766,-8.35,-9.32,0
15.786,-9.08,-9.57,0
15.806,-9.45,-9.69,0
15.826,-9.69,-9.81,0
15.846,-9.69,-9.93,0
15.866,-9.81,-9.93,0
15.886,-9.81,-9.93,0
15.906,-9.81,-10.06,0
15.926,-9.81,-9.93,0
15.946,-9.93,-10.06,0
15.966,-9.93,-10.06,0
15.986,-10.06,-10.06,0
16.006,-10.06,-10.06,0
16.026,-10.06,-10.06,0
16.046,-10.06,-10.06,0
16.066,-10.06,-10.06,0
16.086,-10.06,-10.06,0
16.106,-10.18,-10.06,0
16.126,-10.06,-10.06,0
16.146,-10.06,-10.06,0
16.166,-10.06,-10.06,0
16.186,-10.06,-10.18,0
16.206,-10.06,-10.18,0
16.226,-10.06,-10.18,0
16.246,-10.18,-10.18,0
16.266,-10.06,-10.18,0
16.286,-10.06,-10.18,0
16.306,-10.18,-10.18,0
16.326,-10.18,-10.18,0
16.346,-10.06,-10.18,0
16.366,-10.18,-10.18,0
16.386,-10.18,-10.18,1
16.406,-10.18,-10.18,1
16.426,-10.18,-10.18,1
16.446,-10.18,-10.18,1
16.466,-10.18,-10.18,1
16.486,-10.18,-10.18,1
16.506,-10.18,-10.18,1
16.507,-10.18,-10.18,1
16.527,-10.18,-10.18,1
16.547,-10.18,-10.3,1
16.567,-10.18,-10.3,1
16.587,-10.18,-10.3,1
16.607,-10.18,-10.3,1
16.627,-9.93,-9.93,1
16.647,-9.2,-9.32,1
16.667,-8.59,-8.71,1
16.687,-8.22,-7.86,1
16.707,-7.61,-7.12,1
16.727,-6.88,-6.63,1
16.747,-6.15,-6.39,1
16.767,-5.54,-6.15,1
16.787,-5.29,-5.9,1
16.807,-5.17,-5.66,1
16.827,-5.05,-5.54,1
16.847,-4.92,-5.41,1
16.867,-4.68,-5.29,1
16.887,-4.56,-5.29,1
16.907,-4.44,-5.17,1
16.908,-4.31,-5.17,1
16.928,-4.31,-5.05,0
16.948,-4.31,-5.05,0
16.968,-4.31,-5.05,0
