Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
15.953,-11.16,-11.16,0
15.973,-11.28,-11.28,0
15.992,-11.28,-11.28,0
16.012,-11.4,-11.28,0
16.032,-11.4,-11.28,0
16.052,-11.28,-11.28,0
16.072,-11.4,-11.28,0
16.092,-11.4,-11.28,0
16.112,-11.4,-11.4,1
16.132,-11.4,-11.4,1
16.152,-11.4,-11.4,1
16.152,-11.52,-11.4,1
16.172,-11.4,-11.4,1
16.193,-11.4,-11.4,1
16.213,-11.4,-11.4,1
16.233,-11.4,-11.4,1
16.253,-11.4,-11.4,1
16.273,-11.4,-11.4,1
16.293,-11.52,-11.4,1
16.313,-11.4,-11.28,1
16.333,-10.91,-10.79,1
16.352,-10.18,-9.81,1
16.373,-9.08,-8.22,1
16.392,-7.25,-6.88,1
16.412,-5.66,-5.9,1
16.432,-4.68,-5.17,1
16.452,-4.07,-4.56,1
16.473,-3.58,-4.19,1
16.493,-3.09,-3.82,1
16.513,-2.48,-3.46,1
16.533,-2.11,-3.21,1
16.553,-1.87,-2.85,1
16.573,-1.87,-2.72,1
16.593,-1.38,-2.6,0
16.613,-1.26,-2.48,0
16.634,-1.26,-2.24,0
16.654,-1.14,-2.11,0
16.673,-1.14,-1.99,0
16.693,-0.77,-1.87,0
16.713,-0.77,-1.87,0
16.733,-0.77,-1.87,0
16.754,-0.77,-1.75,0
16.774,-0.77,-1.75,0
16.793,-0.53,-1.63,0
16.814,-0.53,-1.63,0
16.834,-0.65,-1.5,0
16.854,-0.4,-1.63,0
16.874,-0.28,-1.5,0
16.894,-0.4,-1.5,0
16.914,-0.4,-1.5,0
16.933,-1.99,-2.97,0
